fighter_url,fight_url,Sig. str,Sig. str. %,Head,Body,Leg,Distance,Clinch,Ground
http://ufcstats.com/fighter-details/aa72b0f831d0bfe5,http://ufcstats.com/fight-details/bb85e207eba236bc,45 of 90,50%,18 of 57,15 of 20,12 of 13,42 of 84,1 of 2,2 of 4
http://ufcstats.com/fighter-details/22a92d7f62195791,http://ufcstats.com/fight-details/2d39c26876246223,10 of 18,55%,4 of 9,1 of 3,5 of 6,10 of 18,0 of 0,0 of 0
http://ufcstats.com/fighter-details/c58f51dedb310998,http://ufcstats.com/fight-details/2d39c26876246223,4 of 25,16%,3 of 23,1 of 2,0 of 0,4 of 25,0 of 0,0 of 0
http://ufcstats.com/fighter-details/7447e9f28508106a,http://ufcstats.com/fight-details/d0d74672150ddea3,72 of 203,35%,61 of 188,5 of 6,6 of 9,66 of 195,6 of 8,0 of 0
http://ufcstats.com/fighter-details/8e5d953bdb9ae5e7,http://ufcstats.com/fight-details/d0d74672150ddea3,67 of 146,45%,45 of 116,16 of 23,6 of 7,58 of 136,9 of 10,0 of 0
http://ufcstats.com/fighter-details/58bbef3770bb2dfc,http://ufcstats.com/fight-details/de767dd5216bcad9,95 of 141,67%,67 of 111,24 of 26,4 of 4,71 of 112,24 of 29,0 of 0
http://ufcstats.com/fighter-details/48a9a128784d53d1,http://ufcstats.com/fight-details/de767dd5216bcad9,45 of 97,46%,17 of 58,7 of 16,21 of 23,45 of 96,0 of 1,0 of 0
http://ufcstats.com/fighter-details/e90a2f22417af68e,http://ufcstats.com/fight-details/fbbb703581440496,45 of 85,52%,34 of 69,11 of 16,0 of 0,43 of 82,0 of 1,2 of 2
http://ufcstats.com/fighter-details/a495f599e787614f,http://ufcstats.com/fight-details/fbbb703581440496,15 of 74,20%,14 of 73,1 of 1,0 of 0,15 of 73,0 of 1,0 of 0
http://ufcstats.com/fighter-details/3753714927f18437,http://ufcstats.com/fight-details/1cd63899011c4bf6,4 of 18,22%,2 of 15,0 of 1,2 of 2,4 of 18,0 of 0,0 of 0
http://ufcstats.com/fighter-details/ec13c393d029297d,http://ufcstats.com/fight-details/1cd63899011c4bf6,37 of 63,58%,21 of 44,6 of 9,10 of 10,29 of 49,0 of 0,8 of 14
http://ufcstats.com/fighter-details/6747ccd6d1acd266,http://ufcstats.com/fight-details/637f792270a0c746,31 of 46,67%,22 of 37,8 of 8,1 of 1,12 of 25,15 of 17,4 of 4
http://ufcstats.com/fighter-details/1a9480fc288e55d7,http://ufcstats.com/fight-details/637f792270a0c746,27 of 58,46%,18 of 45,5 of 9,4 of 4,25 of 53,2 of 5,0 of 0
http://ufcstats.com/fighter-details/7772b283d288dbe2,http://ufcstats.com/fight-details/77df662671ce11c5,30 of 68,44%,13 of 48,13 of 16,4 of 4,15 of 50,11 of 11,4 of 7
http://ufcstats.com/fighter-details/6d38e41efa47a72d,http://ufcstats.com/fight-details/77df662671ce11c5,34 of 85,40%,23 of 72,10 of 12,1 of 1,24 of 71,7 of 9,3 of 5
http://ufcstats.com/fighter-details/6c9b66b43663f2f7,http://ufcstats.com/fight-details/f80143e1f3c3d319,61 of 144,42%,45 of 122,15 of 21,1 of 1,50 of 125,11 of 19,0 of 0
http://ufcstats.com/fighter-details/e94085e821bd81de,http://ufcstats.com/fight-details/f80143e1f3c3d319,97 of 193,50%,65 of 147,24 of 38,8 of 8,86 of 179,6 of 9,5 of 5
http://ufcstats.com/fighter-details/4c88a1db5a46c6a4,http://ufcstats.com/fight-details/d038ff5ac21094f3,82 of 178,46%,47 of 132,27 of 36,8 of 10,79 of 173,3 of 4,0 of 1
http://ufcstats.com/fighter-details/40a456a25d52ee65,http://ufcstats.com/fight-details/d038ff5ac21094f3,67 of 199,33%,29 of 134,10 of 23,28 of 42,64 of 192,3 of 7,0 of 0
http://ufcstats.com/fighter-details/4e6738062d469256,http://ufcstats.com/fight-details/e6851877e33d343f,49 of 88,55%,28 of 66,9 of 10,12 of 12,40 of 79,1 of 1,8 of 8
http://ufcstats.com/fighter-details/0112352cb32f5026,http://ufcstats.com/fight-details/e6851877e33d343f,26 of 70,37%,10 of 49,13 of 18,3 of 3,24 of 67,2 of 2,0 of 1
http://ufcstats.com/fighter-details/f1fac969a1d70b08,http://ufcstats.com/fight-details/ec5163539a133f17,47 of 71,66%,32 of 53,12 of 15,3 of 3,35 of 58,6 of 7,6 of 6
http://ufcstats.com/fighter-details/b1b0729d27936f2f,http://ufcstats.com/fight-details/ec5163539a133f17,68 of 121,56%,59 of 110,9 of 11,0 of 0,62 of 111,0 of 4,6 of 6
http://ufcstats.com/fighter-details/399afbabc02376b5,http://ufcstats.com/fight-details/ec434314c5438fc7,14 of 19,73%,14 of 19,0 of 0,0 of 0,4 of 8,0 of 0,10 of 11
http://ufcstats.com/fighter-details/fa6796c55d6c5440,http://ufcstats.com/fight-details/ec434314c5438fc7,5 of 11,45%,5 of 11,0 of 0,0 of 0,5 of 11,0 of 0,0 of 0
http://ufcstats.com/fighter-details/887961364be5ceb3,http://ufcstats.com/fight-details/3e2bde19e752f64b,15 of 21,71%,2 of 6,3 of 5,10 of 10,15 of 21,0 of 0,0 of 0
http://ufcstats.com/fighter-details/7826923b47f8d72a,http://ufcstats.com/fight-details/3e2bde19e752f64b,8 of 13,61%,2 of 4,0 of 0,6 of 9,8 of 13,0 of 0,0 of 0
http://ufcstats.com/fighter-details/a93f94c923c3a9cb,http://ufcstats.com/fight-details/f02fed4e98048471,29 of 48,60%,13 of 28,7 of 10,9 of 10,23 of 40,6 of 8,0 of 0
http://ufcstats.com/fighter-details/d1c65d2cf2925ddd,http://ufcstats.com/fight-details/f02fed4e98048471,45 of 79,56%,37 of 69,8 of 10,0 of 0,28 of 55,12 of 18,5 of 6
http://ufcstats.com/fighter-details/040a74bb0a465c54,http://ufcstats.com/fight-details/8a2e28da18ba6a25,61 of 122,50%,43 of 95,16 of 22,2 of 5,61 of 122,0 of 0,0 of 0
http://ufcstats.com/fighter-details/9560ff14eb3129f7,http://ufcstats.com/fight-details/8a2e28da18ba6a25,38 of 111,34%,22 of 83,12 of 24,4 of 4,38 of 111,0 of 0,0 of 0
http://ufcstats.com/fighter-details/329e403448756217,http://ufcstats.com/fight-details/45e6a9b56ee3a9d1,66 of 93,70%,35 of 56,12 of 14,19 of 23,55 of 79,0 of 0,11 of 14
http://ufcstats.com/fighter-details/361d49960a196976,http://ufcstats.com/fight-details/45e6a9b56ee3a9d1,32 of 69,46%,21 of 53,3 of 5,8 of 11,19 of 53,2 of 2,11 of 14
http://ufcstats.com/fighter-details/51018a31ddf31eb2,http://ufcstats.com/fight-details/678eda89a096dde8,32 of 56,57%,19 of 38,11 of 15,2 of 3,28 of 52,2 of 2,2 of 2
http://ufcstats.com/fighter-details/7138a15258dabf20,http://ufcstats.com/fight-details/678eda89a096dde8,44 of 74,59%,20 of 46,22 of 24,2 of 4,32 of 56,8 of 9,4 of 9
http://ufcstats.com/fighter-details/60a42bf82447c919,http://ufcstats.com/fight-details/9d8c32c60df0e287,81 of 154,52%,35 of 106,13 of 15,33 of 33,78 of 150,3 of 4,0 of 0
http://ufcstats.com/fighter-details/42ac4020cba261ad,http://ufcstats.com/fight-details/9d8c32c60df0e287,66 of 181,36%,33 of 136,18 of 29,15 of 16,64 of 178,1 of 2,1 of 1
http://ufcstats.com/fighter-details/75353550928a7921,http://ufcstats.com/fight-details/d6e240c47ba6034d,30 of 82,36%,11 of 39,13 of 22,6 of 21,27 of 78,2 of 2,1 of 2
http://ufcstats.com/fighter-details/5d1b7e3dd9e11074,http://ufcstats.com/fight-details/d6e240c47ba6034d,20 of 48,41%,16 of 39,4 of 7,0 of 2,20 of 48,0 of 0,0 of 0
http://ufcstats.com/fighter-details/6b56e94a59b7b134,http://ufcstats.com/fight-details/16b0a16ab2e20fdb,44 of 125,35%,36 of 116,4 of 5,4 of 4,41 of 122,3 of 3,0 of 0
http://ufcstats.com/fighter-details/9fe7af8b3fbe00a0,http://ufcstats.com/fight-details/16b0a16ab2e20fdb,36 of 93,38%,15 of 66,4 of 9,17 of 18,31 of 85,5 of 8,0 of 0
http://ufcstats.com/fighter-details/476fe566d2df676e,http://ufcstats.com/fight-details/026bb9fd1b3f239d,38 of 76,50%,28 of 64,7 of 9,3 of 3,29 of 62,3 of 7,6 of 7
