fighter_url,fight_url,referee,KD,Sig. str.,Sig. str. %,Total str.,Td,Td %,Sub. att,Rev.,Ctrl
http://ufcstats.com/fighter-details/eb393afdbe3293d5,http://ufcstats.com/fight-details/ce1436a9b58902a7,Mark Smith,0,26 of 42,61%,26 of 43,0 of 0,---,0,0,0:00
http://ufcstats.com/fighter-details/ff62013d2fce6d13,http://ufcstats.com/fight-details/ce1436a9b58902a7,Mark Smith,0,13 of 46,28%,14 of 49,0 of 0,---,0,0,0:35
http://ufcstats.com/fighter-details/260e9e0d4954aea6,http://ufcstats.com/fight-details/875b249ebe45a66b,Herb Dean,0,58 of 99,58%,60 of 101,1 of 11,9%,0,0,1:50
http://ufcstats.com/fighter-details/5f61780fe5e9b6d0,http://ufcstats.com/fight-details/875b249ebe45a66b,Herb Dean,0,55 of 111,49%,58 of 114,0 of 2,0%,0,0,0:05
http://ufcstats.com/fighter-details/36e78278a77006d4,http://ufcstats.com/fight-details/2a493f15e079a7ff,Dan Miragliotta,0,6 of 23,26%,9 of 31,2 of 3,66%,0,0,0:47
http://ufcstats.com/fighter-details/7d6ceff6747f2de2,http://ufcstats.com/fight-details/2a493f15e079a7ff,Dan Miragliotta,1,21 of 40,52%,22 of 42,0 of 0,---,0,0,0:08
http://ufcstats.com/fighter-details/f0feeb2192937424,http://ufcstats.com/fight-details/f4817d5cbe9be532,Mark Smith,0,86 of 158,54%,103 of 176,2 of 6,33%,0,0,4:31
http://ufcstats.com/fighter-details/8bd4200561c77a62,http://ufcstats.com/fight-details/f4817d5cbe9be532,Mark Smith,0,70 of 138,50%,77 of 146,0 of 2,0%,0,0,0:03
http://ufcstats.com/fighter-details/83455a9d17f57dae,http://ufcstats.com/fight-details/2ae33fce63a75df9,Chris Tognoni,0,11 of 30,36%,60 of 96,11 of 19,57%,0,0,9:22
http://ufcstats.com/fighter-details/c051c2e12d692b8a,http://ufcstats.com/fight-details/2ae33fce63a75df9,Chris Tognoni,0,35 of 87,40%,41 of 95,2 of 5,40%,2,0,1:14
http://ufcstats.com/fighter-details/01641ba5df0c69b0,http://ufcstats.com/fight-details/7b9f169016746f81,Herb Dean,0,35 of 72,48%,35 of 72,4 of 5,80%,2,0,1:42
http://ufcstats.com/fighter-details/2558ae2e5671e318,http://ufcstats.com/fight-details/7b9f169016746f81,Herb Dean,0,20 of 90,22%,23 of 94,0 of 0,---,0,0,0:23
http://ufcstats.com/fighter-details/37098a6e6c27fb66,http://ufcstats.com/fight-details/07b357090cc91c2c,Mark Smith,0,40 of 86,46%,42 of 90,2 of 4,50%,3,2,3:07
http://ufcstats.com/fighter-details/7478b7f959ba61f5,http://ufcstats.com/fight-details/07b357090cc91c2c,Mark Smith,0,40 of 97,41%,52 of 110,3 of 4,75%,1,2,2:53
http://ufcstats.com/fighter-details/1a9480fc288e55d7,http://ufcstats.com/fight-details/3b2a24db4eeaeede,Dan Miragliotta,0,1 of 2,50%,3 of 4,0 of 0,---,0,0,0:00
http://ufcstats.com/fighter-details/f5779a2303ed76ec,http://ufcstats.com/fight-details/3b2a24db4eeaeede,Dan Miragliotta,0,1 of 3,33%,5 of 9,1 of 2,50%,1,0,0:58
http://ufcstats.com/fighter-details/86d9dbe1bfcbade7,http://ufcstats.com/fight-details/58668a0736602842,Chris Tognoni,0,54 of 138,39%,57 of 145,1 of 2,50%,0,0,1:39
http://ufcstats.com/fighter-details/e3964ece586e0635,http://ufcstats.com/fight-details/58668a0736602842,Chris Tognoni,0,73 of 199,36%,75 of 201,0 of 1,0%,0,0,0:00
http://ufcstats.com/fighter-details/0d7b51c9d2649a6e,http://ufcstats.com/fight-details/d13849f49f99bf01,Marc Goddard,0,147 of 314,46%,149 of 316,1 of 2,50%,0,0,0:05
http://ufcstats.com/fighter-details/0d8011111be000b2,http://ufcstats.com/fight-details/d13849f49f99bf01,Marc Goddard,0,128 of 263,48%,128 of 263,0 of 0,---,0,0,0:00
http://ufcstats.com/fighter-details/1ebe20ebbfa15e29,http://ufcstats.com/fight-details/03c2a836d033be8f,Mike Beltran,0,53 of 87,60%,232 of 299,1 of 3,33%,1,0,10:54
http://ufcstats.com/fighter-details/b08012bbe542592a,http://ufcstats.com/fight-details/03c2a836d033be8f,Mike Beltran,0,12 of 36,33%,63 of 95,1 of 15,6%,0,0,5:56
http://ufcstats.com/fighter-details/e13abac8089a801a,http://ufcstats.com/fight-details/8435f90fbd50c7a5,Rich Mitchell,0,0 of 1,0%,0 of 1,0 of 0,---,0,0,0:00
http://ufcstats.com/fighter-details/17923f676f100e16,http://ufcstats.com/fight-details/8435f90fbd50c7a5,Rich Mitchell,1,8 of 9,88%,9 of 10,0 of 1,0%,0,0,0:11
http://ufcstats.com/fighter-details/70e1f8a821b72c8b,http://ufcstats.com/fight-details/de85ef2fd4769070,Marc Goddard,1,106 of 209,50%,139 of 247,0 of 3,0%,0,0,3:52
http://ufcstats.com/fighter-details/69898645d600abdb,http://ufcstats.com/fight-details/de85ef2fd4769070,Marc Goddard,0,89 of 141,63%,95 of 148,1 of 2,50%,0,0,0:29
http://ufcstats.com/fighter-details/a845f0735bc67405,http://ufcstats.com/fight-details/4ce53d8a26693f06,Mike Beltran,0,68 of 184,36%,95 of 215,0 of 0,---,0,0,0:40
http://ufcstats.com/fighter-details/3920d0cc288f9b0d,http://ufcstats.com/fight-details/4ce53d8a26693f06,Mike Beltran,0,59 of 146,40%,64 of 152,1 of 6,16%,0,0,2:16
http://ufcstats.com/fighter-details/a9da3158dd2c2b5a,http://ufcstats.com/fight-details/c35a53be30bfd066,Rich Mitchell,1,34 of 48,70%,39 of 55,0 of 1,0%,0,0,2:20
