fighter_url,fight_url,Sig. str,Sig. str. %,Head,Body,Leg,Distance,Clinch,Ground
http://ufcstats.com/fighter-details/4a28cb716c19157a,http://ufcstats.com/fight-details/2a03bc4c491b4c9a,42 of 92,45%,21 of 61,14 of 20,7 of 11,37 of 83,3 of 5,2 of 4
http://ufcstats.com/fighter-details/01641ba5df0c69b0,http://ufcstats.com/fight-details/2a03bc4c491b4c9a,40 of 72,55%,12 of 36,5 of 6,23 of 30,34 of 65,6 of 7,0 of 0
http://ufcstats.com/fighter-details/751de04455cfaac0,http://ufcstats.com/fight-details/f368475c366c6d85,26 of 123,21%,21 of 116,3 of 5,2 of 2,26 of 123,0 of 0,0 of 0
http://ufcstats.com/fighter-details/97cf1a2c7c5e7889,http://ufcstats.com/fight-details/f368475c366c6d85,85 of 250,34%,52 of 208,23 of 29,10 of 13,85 of 249,0 of 0,0 of 1
http://ufcstats.com/fighter-details/583ee11abddfc581,http://ufcstats.com/fight-details/4e5d4a36eaaa3a78,63 of 155,40%,54 of 142,7 of 9,2 of 4,63 of 153,0 of 2,0 of 0
http://ufcstats.com/fighter-details/5b03b61f9d90125e,http://ufcstats.com/fight-details/4e5d4a36eaaa3a78,67 of 131,51%,41 of 100,12 of 14,14 of 17,64 of 124,2 of 3,1 of 4
http://ufcstats.com/fighter-details/71171fc96445bf65,http://ufcstats.com/fight-details/4b75d3b7738cb278,3 of 6,50%,2 of 4,0 of 0,1 of 2,1 of 2,0 of 0,2 of 4
http://ufcstats.com/fighter-details/be9bdec19b7e9ffe,http://ufcstats.com/fight-details/4b75d3b7738cb278,3 of 4,75%,0 of 0,1 of 2,2 of 2,3 of 4,0 of 0,0 of 0
http://ufcstats.com/fighter-details/c15fa95b9a12fde4,http://ufcstats.com/fight-details/b19bf99c7eb796bc,24 of 38,63%,21 of 35,3 of 3,0 of 0,6 of 14,10 of 10,8 of 14
http://ufcstats.com/fighter-details/3e8118c1ab52f211,http://ufcstats.com/fight-details/b19bf99c7eb796bc,11 of 22,50%,7 of 17,0 of 1,4 of 4,4 of 9,0 of 0,7 of 13
http://ufcstats.com/fighter-details/b0d6a1d8ac3d563d,http://ufcstats.com/fight-details/236f811290163dca,59 of 178,33%,38 of 147,14 of 21,7 of 10,58 of 175,1 of 3,0 of 0
http://ufcstats.com/fighter-details/5442f1bc4b47eaf3,http://ufcstats.com/fight-details/236f811290163dca,64 of 155,41%,44 of 132,18 of 21,2 of 2,61 of 149,3 of 6,0 of 0
http://ufcstats.com/fighter-details/a845f0735bc67405,http://ufcstats.com/fight-details/d5e3be7a07c48b08,3 of 7,42%,3 of 7,0 of 0,0 of 0,2 of 5,1 of 2,0 of 0
http://ufcstats.com/fighter-details/c68c68efaa5ca6ef,http://ufcstats.com/fight-details/d5e3be7a07c48b08,5 of 10,50%,0 of 2,3 of 6,2 of 2,4 of 8,1 of 2,0 of 0
http://ufcstats.com/fighter-details/729d4bd5a6cd0a97,http://ufcstats.com/fight-details/46bc1338a50cbeac,38 of 145,26%,38 of 144,0 of 0,0 of 1,34 of 140,4 of 5,0 of 0
http://ufcstats.com/fighter-details/de594b35c45c2e9a,http://ufcstats.com/fight-details/46bc1338a50cbeac,64 of 235,27%,52 of 221,1 of 2,11 of 12,64 of 234,0 of 0,0 of 1
http://ufcstats.com/fighter-details/8667caa0451d245b,http://ufcstats.com/fight-details/5c650ae2193ab1bc,0 of 0,---,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0
http://ufcstats.com/fighter-details/f5779a2303ed76ec,http://ufcstats.com/fight-details/5c650ae2193ab1bc,4 of 11,36%,4 of 11,0 of 0,0 of 0,1 of 4,3 of 7,0 of 0
http://ufcstats.com/fighter-details/e99eb0ef25885de5,http://ufcstats.com/fight-details/7f33fbdc35afd721,51 of 111,45%,27 of 85,8 of 10,16 of 16,46 of 105,5 of 6,0 of 0
http://ufcstats.com/fighter-details/fb3e61720be4690c,http://ufcstats.com/fight-details/7f33fbdc35afd721,47 of 77,61%,29 of 53,15 of 20,3 of 4,44 of 74,0 of 0,3 of 3
http://ufcstats.com/fighter-details/745fa7b605f8e2da,http://ufcstats.com/fight-details/120d66cb0da0f3c3,92 of 181,50%,57 of 132,26 of 35,9 of 14,75 of 160,12 of 14,5 of 7
http://ufcstats.com/fighter-details/3f4c3bc822bea45d,http://ufcstats.com/fight-details/120d66cb0da0f3c3,44 of 119,36%,23 of 89,15 of 18,6 of 12,44 of 118,0 of 1,0 of 0
http://ufcstats.com/fighter-details/54f64b5e283b0ce7,http://ufcstats.com/fight-details/7a64d63e12618ba7,21 of 29,72%,17 of 23,3 of 3,1 of 3,18 of 24,0 of 0,3 of 5
http://ufcstats.com/fighter-details/07225ba28ae309b6,http://ufcstats.com/fight-details/7a64d63e12618ba7,9 of 16,56%,3 of 8,2 of 4,4 of 4,8 of 14,1 of 2,0 of 0
http://ufcstats.com/fighter-details/a0f0004aadf10b71,http://ufcstats.com/fight-details/8308464729ea7c40,42 of 76,55%,28 of 61,10 of 10,4 of 5,40 of 74,0 of 0,2 of 2
http://ufcstats.com/fighter-details/853eb0dd5c0e2149,http://ufcstats.com/fight-details/8308464729ea7c40,38 of 67,56%,26 of 53,8 of 10,4 of 4,35 of 64,1 of 1,2 of 2
http://ufcstats.com/fighter-details/6e15f63b6c2e2c15,http://ufcstats.com/fight-details/f722b96ae6862843,215 of 467,46%,179 of 422,22 of 27,14 of 18,205 of 451,10 of 16,0 of 0
