fight_url,fighter_1_url,fighter_2_url,event_url,weight_class,method,method_type,round,time,time_seconds,total_fight_time_seconds,winner
9b3bade95e1dd484,65f09bacd3957381,aa72b0f831d0bfe5,de20ffb3fc2e7629,Bantamweight,KO/TKO,Knockout or Technical Knockout,2,4:08,248,548,65f09bacd3957381
380242601a2c5991,d549cefc7c54ab78,35673bf5204524ee,de20ffb3fc2e7629,Middleweight,KO/TKO,Knockout or Technical Knockout,2,1:53,113,413,d549cefc7c54ab78
191ee545160a4e09,8a1f3b5c526cd6e6,6d1bffff14897645,de20ffb3fc2e7629,Welterweight,KO/TKO,Knockout or Technical Knockout,3,1:12,72,672,8a1f3b5c526cd6e6
5ce29056e0cd2df9,cc1a8b4b38b92c6d,850266b3dc4e506e,de20ffb3fc2e7629,Bantamweight,U-DEC,Unanimous Decision,3,5:00,300,900,cc1a8b4b38b92c6d
6ccd10adc968e1f0,1a2bf44edb8055b6,5c84f673b7bb7c15,de20ffb3fc2e7629,Bantamweight,U-DEC,Unanimous Decision,3,5:00,300,900,1a2bf44edb8055b6
9039959b41901412,f6ad6a1e4d600e0d,18968f97ad34f15c,de20ffb3fc2e7629,Lightweight,U-DEC,Unanimous Decision,3,5:00,300,900,f6ad6a1e4d600e0d
2707dc2245335cc1,3143bf892608139a,b96619b3acd7d9da,de20ffb3fc2e7629,Women's Bantamweight,U-DEC,Unanimous Decision,3,5:00,300,900,3143bf892608139a
77ed474dfc5359ea,3bc3f60b21cddc6a,d5bab53a1a603aac,de20ffb3fc2e7629,Middleweight,KO/TKO,Knockout or Technical Knockout,1,2:44,164,164,3bc3f60b21cddc6a
6e26a6293ea6ba62,38c7f72747f4f712,cd2c4d30c6e13b47,de20ffb3fc2e7629,Women's Strawweight,KO/TKO,Knockout or Technical Knockout,2,2:07,127,427,38c7f72747f4f712
97b32ff27fd457a8,32feae6d9a1e5047,96924b0019b3aff1,de20ffb3fc2e7629,Bantamweight,SUB,Submission,2,1:54,114,414,32feae6d9a1e5047
c445401709421fa4,764d39074a352e33,1a9480fc288e55d7,de20ffb3fc2e7629,Heavyweight,U-DEC,Unanimous Decision,3,5:00,300,900,764d39074a352e33
469f887278324e63,aa0c573da7119292,38c5817ade8a8014,de20ffb3fc2e7629,Women's Flyweight,U-DEC,Unanimous Decision,3,5:00,300,900,aa0c573da7119292
633f4b5ec767769d,442c9011034ae1fd,7ee0fd831c0fe7c3,b2e3aca4cd363477,Welterweight,U-DEC,Unanimous Decision,5,5:00,300,1500,442c9011034ae1fd
a526a72ade275f46,8a65fd9ba31fd3f7,d4c9dcd330403612,b2e3aca4cd363477,Light Heavyweight,KO/TKO,Knockout or Technical Knockout,1,4:03,243,243,8a65fd9ba31fd3f7
4072abf0b0c179f2,ffe9703408fb5964,9560ff14eb3129f7,b2e3aca4cd363477,Featherweight,U-DEC,Unanimous Decision,3,5:00,300,900,ffe9703408fb5964
9bbd45774fb4a6eb,36b8f265bcd1b7a4,595db60957de51d3,b2e3aca4cd363477,Middleweight,U-DEC,Unanimous Decision,3,5:00,300,900,36b8f265bcd1b7a4
fbf83609dc96f32e,c6aee362c7a7d482,9d19d9e4aa2662e8,b2e3aca4cd363477,Welterweight,KO/TKO,Knockout or Technical Knockout,2,1:39,99,399,c6aee362c7a7d482
62fbdd4f0bcd3c2a,b07aed698fba8624,886264a0c9f4ea5e,b2e3aca4cd363477,Middleweight,KO/TKO,Knockout or Technical Knockout,1,4:54,294,294,b07aed698fba8624
d8d22dcc1f6912e7,67c1d46f4ed16f9e,09e62c450e754913,b2e3aca4cd363477,Flyweight,U-DEC,Unanimous Decision,3,5:00,300,900,67c1d46f4ed16f9e
97770b38df67b276,d9a56ecb6e94f02e,b2a78df161bd67f9,b2e3aca4cd363477,Lightweight,U-DEC,Unanimous Decision,3,5:00,300,900,d9a56ecb6e94f02e
6f3cb7ce84185dd3,45f0cc9d18f35137,5fa2974cbd18e05c,b2e3aca4cd363477,Featherweight,S-DEC,Split Decision,3,5:00,300,900,45f0cc9d18f35137
7d51649373d42571,da22387a0407a2dc,1897b7b913736a7c,b2e3aca4cd363477,Bantamweight,U-DEC,Unanimous Decision,3,5:00,300,900,da22387a0407a2dc
c2c20a04a78d9143,2e45d08b3f2f02c8,3c8a5200436e19f3,b2e3aca4cd363477,Bantamweight,KO/TKO,Knockout or Technical Knockout,1,1:59,119,119,2e45d08b3f2f02c8
e7b3ca036835b7c2,bc7d1ad49fcb2d08,9673a497a9da119a,b2e3aca4cd363477,Women's Strawweight,SUB,Submission,2,1:49,109,409,bc7d1ad49fcb2d08
23201d09a78d446d,0e46690e55a8df75,15ea371202eb25e1,b2e3aca4cd363477,Featherweight,KO/TKO,Knockout or Technical Knockout,2,3:55,235,535,0e46690e55a8df75
7fd6770fe2d4f258,f9ab66e67240db7b,af9efbfd63d39734,b2e3aca4cd363477,Women's Bantamweight,KO/TKO,Knockout or Technical Knockout,1,2:31,151,151,f9ab66e67240db7b
e733f148060bef2a,e1248941344b3288,f166e93d04a8c274,22f4b6cb6b1bd7fd,Featherweight,U-DEC,Unanimous Decision,5,5:00,300,1500,e1248941344b3288
d05cb4c4135ce402,7826923b47f8d72a,4b93a88f3b1de35b,22f4b6cb6b1bd7fd,Lightweight,KO/TKO,Knockout or Technical Knockout,3,3:07,187,787,7826923b47f8d72a
d3be5a4e0ec273e2,cbf5e6f231b55443,98a58c26c5b1ed17,22f4b6cb6b1bd7fd,Featherweight,U-DEC,Unanimous Decision,3,5:00,300,900,cbf5e6f231b55443
8c540eb4afe8c43e,52ef95b5860fb28c,d9c6f19f958643e9,22f4b6cb6b1bd7fd,Featherweight,SUB,Submission,2,3:52,232,532,52ef95b5860fb28c
b2d731415bd367df,2e19380f34871c6a,1091d4d957141094,22f4b6cb6b1bd7fd,Light Heavyweight,KO/TKO,Knockout or Technical Knockout,1,2:24,144,144,2e19380f34871c6a
fc43d60cbd6b0e6a,82a5152216251682,4682bc59d5f55145,22f4b6cb6b1bd7fd,Featherweight,KO/TKO,Knockout or Technical Knockout,3,1:12,72,672,82a5152216251682
0eccebee160137b1,7dda2cf308f24a02,c41d426cc7326d1b,22f4b6cb6b1bd7fd,Women's Strawweight,U-DEC,Unanimous Decision,3,5:00,300,900,7dda2cf308f24a02
11eb27a1ac74d225,971246648e162f0d,d1941565abf50b16,22f4b6cb6b1bd7fd,Lightweight,U-DEC,Unanimous Decision,3,5:00,300,900,971246648e162f0d
08e7a39eb7482ebf,902ec2cc48c8ae8a,92a9aa9c93192871,22f4b6cb6b1bd7fd,Featherweight,KO/TKO,Knockout or Technical Knockout,1,4:15,255,255,902ec2cc48c8ae8a
4bbda6c1f6cf9d4e,0d65c432720accb9,4e6738062d469256,22f4b6cb6b1bd7fd,Middleweight,KO/TKO,Knockout or Technical Knockout,1,2:49,169,169,0d65c432720accb9
fd98843926965cbd,3cf18e01cb6cbde3,0be6776db31d98ec,22f4b6cb6b1bd7fd,Flyweight,S-DEC,Split Decision,3,5:00,300,900,3cf18e01cb6cbde3
b87d6f71d901355b,9384e71bca6c409d,147e70aa6cc48cfc,22f4b6cb6b1bd7fd,Middleweight,KO/TKO,Knockout or Technical Knockout,2,3:16,196,496,9384e71bca6c409d
0e71e69359db4d1e,f2b3f4ef3f780168,3c26c420584d912d,22f4b6cb6b1bd7fd,Women's Bantamweight,SUB,Submission,2,1:52,112,412,f2b3f4ef3f780168
86a1be10255eea4e,396fe87b84ac2e1c,fba03cd6cc28dc41,86b30a86664cb6e4,Featherweight,U-DEC,Unanimous Decision,5,5:00,300,1500,396fe87b84ac2e1c
a160e94fdb66de17,b8bbdeff718dbb7d,791c8437b341fba5,86b30a86664cb6e4,Featherweight,U-DEC,Unanimous Decision,3,5:00,300,900,b8bbdeff718dbb7d
fc3825dd1b67e39d,117a06469813e4ef,8173f134396cb971,86b30a86664cb6e4,Bantamweight,KO/TKO,Knockout or Technical Knockout,2,3:48,228,528,117a06469813e4ef
0c80eef2f4570543,0c6d9ea8306c029e,6ac9bc2953c47345,86b30a86664cb6e4,Middleweight,U-DEC,Unanimous Decision,3,5:00,300,900,0c6d9ea8306c029e
de9422207df2de64,6d68c1afe954f121,29162be25ebef5f0,86b30a86664cb6e4,Flyweight,KO/TKO,Knockout or Technical Knockout,2,1:54,114,414,6d68c1afe954f121
d1368ca941c1fefc,fbb60f24af5d5a02,0cd0456d6029cec2,86b30a86664cb6e4,Middleweight,S-DEC,Split Decision,3,5:00,300,900,fbb60f24af5d5a02
76641669c1607b7a,27b388f0aab49780,d7e40dca3ae125be,86b30a86664cb6e4,Women's Flyweight,SUB,Submission,1,4:13,253,253,27b388f0aab49780
58811a4e36c53b89,f748267c4ab6c127,7cec3c4a5e7b6d68,86b30a86664cb6e4,Welterweight,KO/TKO,Knockout or Technical Knockout,1,5:00,300,300,f748267c4ab6c127
fd088ce1481315a5,4e30e4250cb08b61,efc67b07eed39794,86b30a86664cb6e4,Women's Strawweight,U-DEC,Unanimous Decision,3,5:00,300,900,4e30e4250cb08b61
4b1aec2395ebca14,eb8d8c2a95cfccb8,f7be1db194e03d7e,86b30a86664cb6e4,Bantamweight,U-DEC,Unanimous Decision,3,5:00,300,900,eb8d8c2a95cfccb8
96cc199d78732d11,8eb046f83e82bf26,02f484417a6fa69d,86b30a86664cb6e4,Heavyweight,U-DEC,Unanimous Decision,3,5:00,300,900,8eb046f83e82bf26
cca4d763b1c6de0a,d35298b6df168456,2c483cf443f38ece,86b30a86664cb6e4,Women's Strawweight,U-DEC,Unanimous Decision,3,5:00,300,900,d35298b6df168456
33e301872e2b5680,792be9a24df82ed6,32ab52e5de93092d,0f7210aa8d61af8d,Flyweight,U-DEC,Unanimous Decision,5,5:00,300,1500,792be9a24df82ed6
8fc8d66ad0074ab0,2e7878927067fdca,519e4fe37ce9ff75,0f7210aa8d61af8d,Lightweight,KO/TKO,Knockout or Technical Knockout,1,1:45,105,105,2e7878927067fdca
ab4a91a59c01d6b6,5ef94841c4bc3f86,077e3ace32b72be9,0f7210aa8d61af8d,Flyweight,SUB,Submission,1,2:30,150,150,5ef94841c4bc3f86
0f20c1d7c44fa5fe,fe2babf95de24fb1,37098a6e6c27fb66,0f7210aa8d61af8d,Bantamweight,U-DEC,Unanimous Decision,3,5:00,300,900,fe2babf95de24fb1
55376d5c205fa844,9a97acbfd5a08bfa,72ea1984c52019b5,0f7210aa8d61af8d,Bantamweight,KO/TKO,Knockout or Technical Knockout,1,4:38,278,278,9a97acbfd5a08bfa
5ba7dd466e30169f,34b96d52db1d26e6,f2900678e98f6d6a,0f7210aa8d61af8d,Flyweight,U-DEC,Unanimous Decision,3,5:00,300,900,34b96d52db1d26e6
64fe6e61a24dbf39,2f815ed5f8278ba6,baa9be02c3e3e038,0f7210aa8d61af8d,Middleweight,KO/TKO,Knockout or Technical Knockout,1,3:32,212,212,2f815ed5f8278ba6
41cdbcc0f3635b8f,20bccc9bb4ceb23e,5ec591b78349ba7e,0f7210aa8d61af8d,Featherweight,U-DEC,Unanimous Decision,3,5:00,300,900,20bccc9bb4ceb23e
7efca050bc7be8ac,8e5d953bdb9ae5e7,abb68e3c7ca128f2,0f7210aa8d61af8d,Women's Strawweight,U-DEC,Unanimous Decision,3,5:00,300,900,8e5d953bdb9ae5e7
7e3fc760b26b6ae4,e132d47bd9efbbe0,c77a953488e5607d,0f7210aa8d61af8d,Lightweight,U-DEC,Unanimous Decision,3,5:00,300,900,e132d47bd9efbbe0
e2e2537a345367d4,e00a3dee329a51f7,b909a9a9688b5284,0f7210aa8d61af8d,Featherweight,KO/TKO,Knockout or Technical Knockout,1,4:06,246,246,e00a3dee329a51f7
9f66d450af690df5,e2be0c1a9b886d92,d2cd7a69cc55e7ed,0f7210aa8d61af8d,Lightweight,S-DEC,Split Decision,3,5:00,300,900,e2be0c1a9b886d92
371ed8497799998e,45f7cb591c3ab00b,f1fac969a1d70b08,cc2ad11b1f9d818b,Welterweight,SUB,Submission,4,1:39,99,999,45f7cb591c3ab00b
6d9ea9f436ed354d,9014c02eff8b3d62,99df7d0a2a08a8a8,cc2ad11b1f9d818b,Light Heavyweight,U-DEC,Unanimous Decision,3,5:00,300,900,9014c02eff8b3d62
96c6be6b22385967,3a46b268013afede,fd55393021a8c255,cc2ad11b1f9d818b,Welterweight,U-DEC,Unanimous Decision,3,5:00,300,900,3a46b268013afede
b5b4b69bccb9ff4a,545092d13c67aa49,51018a31ddf31eb2,cc2ad11b1f9d818b,Women's Strawweight,SUB,Submission,1,4:32,272,272,545092d13c67aa49
8e6640c007ad603d,fd406a32a6fb3a29,6d38e41efa47a72d,cc2ad11b1f9d818b,Lightweight,SUB,Submission,2,3:42,222,522,fd406a32a6fb3a29
9779eb1aae1d4654,329e403448756217,5b03b61f9d90125e,cc2ad11b1f9d818b,Featherweight,U-DEC,Unanimous Decision,3,5:00,300,900,329e403448756217
2a1071689c3af9df,06626b6287e1ae1e,4c88a1db5a46c6a4,cc2ad11b1f9d818b,Lightweight,S-DEC,Split Decision,3,5:00,300,900,06626b6287e1ae1e
