fighter_url,fight_url,referee,significant_strikes_landed,significant_strikes_attempted,significant_strike_accuracy,head_strikes_landed,head_strikes_attempted,body_strikes_landed,body_strikes_attempted,leg_strikes_landed,leg_strikes_attempted,distance_strikes_landed,distance_strikes_attempted,clinch_strikes_landed,clinch_strikes_attempted,ground_strikes_landed,ground_strikes_attempted,total_strikes_landed,total_strikes_attempted,takedowns_landed,takedowns_attempted,takedown_accuracy,knockdowns,submission_attempts,reversals,control_time_seconds,significant_strike_accuracy_opponent
0c25d0a5e8cdbf19,182ee320edb1b5ed,Chris Hill,5,8,0.62,1,4,0,0,4,4,5,8,0,0,0,0,23,28,0,0,,0,0,0,0,0.62
1e719d4b676dc19a,74099d470e8d2765,Kerry Hatley,7,9,0.77,4,5,1,2,2,2,6,8,0,0,1,1,9,11,1,1,1.0,0,1,0,67,0.77
3eeec2f53cebdf12,74099d470e8d2765,Kerry Hatley,4,15,0.26,3,13,1,2,0,0,4,15,0,0,0,0,4,15,0,1,0.0,0,0,0,8,0.26
f1ab6f37492c630a,a602c68147b752b2,Bassel Mahgoub,109,225,0.48,85,193,24,32,0,0,96,210,10,12,3,3,117,235,0,0,,1,0,0,78,0.48
fc0a4053eb8a3a59,a602c68147b752b2,Bassel Mahgoub,32,101,0.31,26,85,3,12,3,4,30,98,2,3,0,0,35,104,1,8,0.12,0,0,0,60,0.31
d3df1add9d9a7efb,0adfc21045c02555,Jason Herzog,9,17,0.52,8,16,1,1,0,0,2,6,1,2,6,9,10,21,0,0,,1,0,0,12,0.52
17923f676f100e16,0adfc21045c02555,Jason Herzog,3,5,0.6,3,5,0,0,0,0,3,5,0,0,0,0,3,5,0,0,,0,0,0,0,0.6
4a28cb716c19157a,2a03bc4c491b4c9a,Blake Grice,42,92,0.45,21,61,14,20,7,11,37,83,3,5,2,4,78,135,0,2,0.0,0,0,1,28,0.45
01641ba5df0c69b0,2a03bc4c491b4c9a,Blake Grice,40,72,0.55,12,36,5,6,23,30,34,65,6,7,0,0,55,93,5,14,0.35,0,0,0,329,0.55
751de04455cfaac0,f368475c366c6d85,Jason Herzog,26,123,0.21,21,116,3,5,2,2,26,123,0,0,0,0,26,123,0,0,,0,0,0,21,0.21
97cf1a2c7c5e7889,f368475c366c6d85,Jason Herzog,85,250,0.34,52,208,23,29,10,13,85,249,0,0,0,1,85,250,0,0,,1,0,0,3,0.34
583ee11abddfc581,4e5d4a36eaaa3a78,Blake Grice,63,155,0.4,54,142,7,9,2,4,63,153,0,2,0,0,65,158,0,0,,0,0,0,22,0.4
5b03b61f9d90125e,4e5d4a36eaaa3a78,Blake Grice,67,131,0.51,41,100,12,14,14,17,64,124,2,3,1,4,67,131,2,5,0.4,1,0,0,63,0.51
71171fc96445bf65,4b75d3b7738cb278,Jimmy Neely,3,6,0.5,2,4,0,0,1,2,1,2,0,0,2,4,17,22,1,1,1.0,0,2,0,183,0.5
be9bdec19b7e9ffe,4b75d3b7738cb278,Jimmy Neely,3,4,0.75,0,0,1,2,2,2,3,4,0,0,0,0,3,4,0,0,,0,0,0,0,0.75
c15fa95b9a12fde4,b19bf99c7eb796bc,Eric McMahon,24,38,0.63,21,35,3,3,0,0,6,14,10,10,8,14,25,39,0,0,,0,0,1,27,0.63
3e8118c1ab52f211,b19bf99c7eb796bc,Eric McMahon,11,22,0.5,7,17,0,1,4,4,4,9,0,0,7,13,31,57,5,9,0.55,0,1,0,471,0.5
b0d6a1d8ac3d563d,236f811290163dca,Justin Brown,59,178,0.33,38,147,14,21,7,10,58,175,1,3,0,0,63,185,0,0,,0,0,0,63,0.33
5442f1bc4b47eaf3,236f811290163dca,Justin Brown,64,155,0.41,44,132,18,21,2,2,61,149,3,6,0,0,71,162,0,1,0.0,0,0,0,14,0.41
a845f0735bc67405,d5e3be7a07c48b08,Jimmy Neely,3,7,0.42,3,7,0,0,0,0,2,5,1,2,0,0,5,9,1,1,1.0,0,1,0,29,0.42
c68c68efaa5ca6ef,d5e3be7a07c48b08,Jimmy Neely,5,10,0.5,0,2,3,6,2,2,4,8,1,2,0,0,5,10,0,0,,0,0,0,0,0.5
729d4bd5a6cd0a97,46bc1338a50cbeac,Blake Grice,38,145,0.26,38,144,0,0,0,1,34,140,4,5,0,0,67,179,2,9,0.22,0,2,0,63,0.26
de594b35c45c2e9a,46bc1338a50cbeac,Blake Grice,64,235,0.27,52,221,1,2,11,12,64,234,0,0,0,1,74,248,2,3,0.66,0,0,0,182,0.27
8667caa0451d245b,5c650ae2193ab1bc,Eric McMahon,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,3,
f5779a2303ed76ec,5c650ae2193ab1bc,Eric McMahon,4,11,0.36,4,11,0,0,0,0,1,4,3,7,0,0,4,11,1,2,0.5,0,1,0,28,0.36
e99eb0ef25885de5,7f33fbdc35afd721,Justin Brown,51,111,0.45,27,85,8,10,16,16,46,105,5,6,0,0,57,118,0,2,0.0,0,0,0,5,0.45
fb3e61720be4690c,7f33fbdc35afd721,Justin Brown,47,77,0.61,29,53,15,20,3,4,44,74,0,0,3,3,58,94,1,2,0.5,1,2,0,262,0.61
